product,day,units_sold,revenue
Product A,Monday,45,1350.00
Product A,Tuesday,52,1560.00
Product A,Wednesday,38,1140.00
Product A,Thursday,61,1830.00
Product A,Friday,73,2190.00
Product A,Saturday,89,2670.00
Product A,Sunday,67,2010.00
Product B,Monday,32,960.00
Product B,Tuesday,28,840.00
Product B,Wednesday,35,1050.00
Product B,Thursday,42,1260.00
Product B,Friday,48,1440.00
Product B,Saturday,55,1650.00
Product B,Sunday,41,1230.00
Product C,Monday,78,2340.00
Product C,Tuesday,82,2460.00
Product C,Wednesday,71,2130.00
Product C,Thursday,88,2640.00
Product C,Friday,95,2850.00
Product C,Saturday,102,3060.00
Product C,Sunday,86,2580.00
Product D,Monday,12,360.00
Product D,Tuesday,15,450.00
Product D,Wednesday,11,330.00
Product D,Thursday,18,540.00
Product D,Friday,22,660.00
Product D,Saturday,28,840.00
Product D,Sunday,19,570.00
