customer_id,age,gender,location,months_subscribed,login_frequency,session_duration_mins,features_used,support_tickets,satisfaction_score,churned
1001,34,M,Urban,12,25,45,8,0,4.5,0
1002,45,F,Suburban,6,8,20,3,2,2.8,1
1003,28,M,Urban,18,30,60,12,0,4.8,0
1004,52,F,Rural,3,5,15,2,4,2.1,1
1005,31,M,Suburban,24,28,55,10,1,4.2,0
1006,38,F,Urban,9,12,25,4,3,2.5,1
1007,29,M,Urban,15,32,65,11,0,4.9,0
1008,50,F,Suburban,4,6,18,2,5,1.9,1
1009,26,M,Urban,20,35,70,13,0,4.7,0
1010,42,F,Rural,5,7,20,3,3,2.6,1
1011,35,M,Urban,14,27,50,9,1,4.3,0
1012,48,F,Suburban,7,9,22,4,2,2.9,1
1013,30,M,Urban,22,33,68,12,0,4.6,0
1014,55,F,Rural,2,4,12,1,6,1.8,1
1015,33,M,Suburban,16,29,58,10,0,4.4,0
1016,40,F,Urban,8,11,24,4,3,2.7,1
1017,27,M,Urban,19,31,62,11,1,4.5,0
1018,46,F,Suburban,6,8,19,3,4,2.4,1
1019,32,M,Urban,21,34,66,13,0,4.8,0
1020,51,F,Rural,3,5,14,2,5,2.0,1
1021,36,M,Urban,13,26,48,8,1,4.1,0
1022,44,F,Suburban,7,10,23,4,2,2.8,1
1023,29,M,Urban,17,30,59,10,0,4.6,0
1024,53,F,Rural,4,6,16,2,4,2.2,1
1025,31,M,Suburban,23,32,64,11,0,4.7,0
1026,39,F,Urban,9,12,26,5,3,2.6,1
1027,28,M,Urban,18,33,67,12,1,4.9,0
1028,47,F,Suburban,5,7,18,3,5,2.3,1
1029,34,M,Urban,15,28,56,9,0,4.4,0
1030,49,F,Rural,6,8,21,3,3,2.5,1
1031,30,M,Urban,20,34,69,13,0,4.8,0
1032,54,F,Suburban,3,5,13,2,6,1.9,1
1033,35,M,Urban,14,27,52,9,1,4.2,0
1034,43,F,Rural,8,11,25,4,2,2.7,1
1035,26,M,Urban,19,31,61,11,0,4.6,0
1036,50,F,Suburban,4,6,17,2,4,2.1,1
1037,33,M,Urban,22,35,70,12,0,4.9,0
1038,41,F,Urban,10,13,28,5,3,2.9,1
1039,27,M,Suburban,16,29,57,10,1,4.3,0
1040,56,F,Rural,2,4,11,1,7,1.7,1
1041,37,M,Urban,12,25,47,8,0,4.1,0
1042,45,F,Suburban,7,9,22,4,2,2.8,1
1043,32,M,Urban,21,33,65,12,0,4.7,0
1044,52,F,Rural,5,7,19,3,5,2.2,1
1045,29,M,Urban,17,30,60,11,1,4.5,0
1046,48,F,Suburban,6,8,20,3,3,2.4,1
1047,31,M,Urban,24,36,72,14,0,5.0,0
1048,40,F,Urban,9,12,27,5,2,2.8,1
1049,28,M,Suburban,18,31,63,11,0,4.6,0
1050,55,F,Rural,3,5,15,2,6,1.9,1
1051,34,M,Urban,13,26,49,8,1,4.2,0
1052,46,F,Suburban,8,10,24,4,3,2.6,1
1053,30,M,Urban,20,32,64,12,0,4.8,0
1054,51,F,Rural,4,6,16,2,5,2.0,1
1055,35,M,Urban,15,28,54,9,1,4.4,0
1056,42,F,Suburban,7,11,26,5,2,2.7,1
1057,27,M,Urban,19,33,68,13,0,4.9,0
1058,53,F,Rural,2,4,12,1,7,1.8,1
1059,36,M,Urban,14,27,51,9,0,4.3,0
1060,44,F,Suburban,9,12,25,4,3,2.9,1
1061,29,M,Urban,21,34,66,12,1,4.7,0
1062,50,F,Rural,5,7,18,3,4,2.3,1
1063,33,M,Suburban,23,35,71,13,0,4.8,0
1064,39,F,Urban,10,13,29,5,2,2.8,1
1065,26,M,Urban,18,30,59,10,0,4.5,0
1066,54,F,Suburban,3,5,14,2,6,2.0,1
1067,38,M,Urban,12,25,46,8,1,4.1,0
1068,47,F,Rural,6,8,21,3,5,2.4,1
1069,31,M,Urban,22,33,67,12,0,4.9,0
1070,41,F,Suburban,8,11,27,5,3,2.6,1
1071,28,M,Urban,17,31,62,11,1,4.6,0
1072,52,F,Rural,4,6,17,2,4,2.1,1
